,timestamp,open,high,low,close,volume
0,2021-07-09,2.22,2.25,2.1,2.2,146769
1,2021-07-08,2.19,2.3,2.15,2.25,251290
2,2021-07-07,2.21,2.25,2.11,2.25,170100
3,2021-07-06,2.27,2.32,2.2,2.22,324615
4,2021-07-02,2.36,2.36,2.22,2.25,260380
5,2021-07-01,2.38,2.5,2.28,2.35,511127
6,2021-06-30,2.31,2.39,2.2899,2.345,331520
7,2021-06-29,2.41,2.4118,2.3,2.34,198627
8,2021-06-28,2.47,2.475,2.27,2.37,381536
9,2021-06-25,2.47,2.52,2.358,2.5,311758
10,2021-06-24,2.4,2.83,2.38,2.47,1236977
11,2021-06-23,2.48,2.57,2.39,2.41,416456
12,2021-06-22,2.34,2.38,2.24,2.3,171750
13,2021-06-21,2.42,2.52,2.32,2.36,240352
14,2021-06-18,2.59,2.59,2.42,2.42,1000869
15,2021-06-17,2.6159,2.84,2.5,2.53,1597034
16,2021-06-16,2.5,2.65,2.3,2.38,365330
17,2021-06-15,2.62,2.75,2.45,2.56,222491
18,2021-06-14,2.47,2.64,2.41,2.61,305255
19,2021-06-11,2.43,2.49,2.32,2.49,234921
20,2021-06-10,2.34,2.46,2.3073,2.41,210593
21,2021-06-09,2.32,2.4,2.27,2.31,151925
22,2021-06-08,2.43,2.46,2.3,2.3,165425
23,2021-06-07,2.35,2.4799,2.35,2.41,147431
24,2021-06-04,2.34,2.48,2.2669,2.35,493619
25,2021-06-03,2.1585,2.33,2.15,2.33,466747
26,2021-06-02,2.4,2.4196,2.15,2.21,606343
27,2021-06-01,2.35,2.44,2.33,2.39,171556
28,2021-05-28,2.37,2.4,2.28,2.35,102435
29,2021-05-27,2.421,2.7,2.32,2.36,971188
30,2021-05-26,2.43,2.55,2.43,2.5,365894
31,2021-05-25,2.35,2.49,2.32,2.4,396170
32,2021-05-24,2.29,2.35,2.2501,2.31,161491
33,2021-05-21,2.22,2.32,2.18,2.3,325907
34,2021-05-20,2.18,2.3,2.12,2.22,217452
35,2021-05-19,2.23,2.23,2.1,2.15,255649
36,2021-05-18,2.27,2.28,2.21,2.24,71350
37,2021-05-17,2.4,2.4,2.23,2.28,59939
38,2021-05-14,2.22,2.42,2.17,2.31,405569
39,2021-05-13,2.26,2.31,2.05,2.1,252376
40,2021-05-12,2.34,2.37,2.2,2.28,422367
41,2021-05-11,2.34,2.42,2.28,2.36,297538
42,2021-05-10,2.45,2.49,2.35,2.42,137919
43,2021-05-07,2.37,2.45,2.3,2.38,104545
44,2021-05-06,2.52,2.52,2.29,2.37,535773
45,2021-05-05,2.64,2.64,2.484,2.55,120035
