,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-24,33634.1,33777.0,33401.14,33549.99,33634.1,33777.0,33401.14,33549.99,2269.353161,2269.353161
1,2021-07-23,32287.58,33650.0,31924.32,33634.09,32287.58,33650.0,31924.32,33634.09,50112.863626,50112.863626
2,2021-07-22,32144.51,32591.35,31708.0,32287.83,32144.51,32591.35,31708.0,32287.83,46148.092433,46148.092433
3,2021-07-21,29790.34,32858.0,29482.61,32144.51,29790.34,32858.0,29482.61,32144.51,82796.265128,82796.265128
4,2021-07-20,30839.65,31063.07,29278.0,29790.35,30839.65,31063.07,29278.0,29790.35,61034.049017,61034.049017
5,2021-07-19,31778.57,31899.0,30407.44,30839.65,31778.57,31899.0,30407.44,30839.65,47340.468499,47340.468499
6,2021-07-18,31520.07,32435.0,31108.97,31778.56,31520.07,32435.0,31108.97,31778.56,35923.716186,35923.716186
7,2021-07-17,31383.86,31955.92,31164.31,31520.07,31383.86,31955.92,31164.31,31520.07,34012.242132,34012.242132
8,2021-07-16,31874.49,32249.18,31020.0,31383.87,31874.49,32249.18,31020.0,31383.87,48499.864154,48499.864154
9,2021-07-15,32820.03,33185.25,31133.0,31880.0,32820.03,33185.25,31133.0,31880.0,51639.576353,51639.576353
10,2021-07-14,32729.12,33114.03,31550.0,32820.02,32729.12,33114.03,31550.0,32820.02,46777.823484,46777.823484
11,2021-07-13,33086.94,33340.0,32202.25,32729.77,33086.94,33340.0,32202.25,32729.77,41126.361008,41126.361008
12,2021-07-12,34259.0,34678.43,32658.34,33086.63,34259.0,34678.43,32658.34,33086.63,48181.403762,48181.403762
13,2021-07-11,33502.87,34666.0,33306.47,34258.99,33502.87,34666.0,33306.47,34258.99,31572.647448,31572.647448
14,2021-07-10,33815.81,34262.0,33004.78,33502.87,33815.81,34262.0,33004.78,33502.87,34761.175468,34761.175468
15,2021-07-09,32875.71,34100.0,32261.07,33815.81,32875.71,34100.0,32261.07,33815.81,47153.939899,47153.939899
16,2021-07-08,33862.11,33929.64,32077.0,32875.71,33862.11,33929.64,32077.0,32875.71,70136.48032,70136.48032
17,2021-07-07,34220.02,35059.09,33777.77,33862.12,34220.02,35059.09,33777.77,33862.12,53807.521675,53807.521675
18,2021-07-06,33690.15,35118.88,33532.0,34220.01,33690.15,35118.88,33532.0,34220.01,58210.596349,58210.596349
19,2021-07-05,35288.13,35293.78,33125.55,33690.14,35288.13,35293.78,33125.55,33690.14,64123.874245,64123.874245
20,2021-07-04,34669.12,35967.85,34357.15,35286.51,34669.12,35967.85,34357.15,35286.51,43703.475789,43703.475789
21,2021-07-03,33786.54,34945.61,33316.73,34669.13,33786.54,34945.61,33316.73,34669.13,43044.578641,43044.578641
22,2021-07-02,33502.33,33977.04,32699.0,33786.55,33502.33,33977.04,32699.0,33786.55,56172.181378,56172.181378
23,2021-07-01,35045.0,35057.57,32711.0,33504.69,35045.0,35057.57,32711.0,33504.69,71708.266112,71708.266112
24,2021-06-30,35911.72,36100.0,34017.55,35045.0,35911.72,36100.0,34017.55,35045.0,77152.197634,77152.197634
